hl.0
hl.1
ENSG00000250988.0
ENSG00000139620.0
ENSG00000058668.0
ENSG00000118873.0
ENSG00000262202.0
ENSG00000130826.0
ENSG00000166012.0
ENSG00000141293.0
ENSG00000143569.0
ENSG00000110700.0
ENSG00000198918.0
ENSG00000114942.0
