ENSG00000225746.0
ENSG00000225746.1
ENSG00000225746.2
ENSG00000225746.3
ENSG00000225746.4
ENSG00000225746.5
ENSG00000225746.6
ENSG00000225746.7
ENSG00000225746.8
ENSG00000225746.9
ENSG00000225746.10
ENSG00000225746.11
ENSG00000225746.12
ENSG00000225746.13
ENSG00000225746.14
ENSG00000225746.15
ENSG00000225746.16
ENSG00000225746.17
ENSG00000225746.18
ENSG00000225746.19
ENSG00000225746.20
ENSG00000225746.21
ENSG00000225746.22
ENSG00000225746.23
ENSG00000225746.24
ENSG00000130224.0
ENSG00000056586.0
ENSG00000142937.0
ENSG00000142937.1
ENSG00000142937.2
ENSG00000142937.3
ENSG00000175216.0
ENSG00000067445.0
ENSG00000265681.0
ENSG00000265681.1
ENSG00000265681.2
ENSG00000198242.0
ENSG00000198242.1
ENSG00000198242.2
ENSG00000198242.3
ENSG00000145592.0
ENSG00000189091.0
ENSG00000189091.1
hl.0
hl.1
hl.2
hl.3
ENSG00000267321.0
ENSG00000102316.0
ENSG00000267322.0
ENSG00000173674.0
ENSG00000173674.1
ENSG00000224078.0
ENSG00000224078.1
ENSG00000224078.2
ENSG00000224078.3
ENSG00000224078.4
ENSG00000224078.5
ENSG00000224078.6
ENSG00000224078.7
ENSG00000224078.8
ENSG00000224078.9
ENSG00000224078.10
ENSG00000224078.11
ENSG00000224078.12
ENSG00000224078.13
ENSG00000224078.14
ENSG00000224078.15
ENSG00000224078.16
ENSG00000224078.17
ENSG00000224078.18
ENSG00000224078.19
ENSG00000224078.20
ENSG00000224078.21
ENSG00000224078.22
ENSG00000224078.23
ENSG00000224078.24
ENSG00000161640.0
ENSG00000122026.0
ENSG00000122026.1
ENSG00000255717.0
ENSG00000255717.1
ENSG00000255717.2
ENSG00000255717.3
ENSG00000105576.0
ENSG00000204387.0
ENSG00000060339.0
ENSG00000110700.0
ENSG00000008838.0
ENSG00000204628.0
ENSG00000204628.1
ENSG00000156976.0
ENSG00000163597.0
ENSG00000163597.1
ENSG00000167526.0
ENSG00000130826.0
ENSG00000163938.0
ENSG00000163938.1
ENSG00000163938.2
ENSG00000174444.0
ENSG00000174444.1
ENSG00000224032.0
ENSG00000125107.0
ENSG00000058668.0
ENSG00000100888.0
ENSG00000100888.1
ENSG00000055044.0
ENSG00000101361.0
ENSG00000101361.1
ENSG00000101361.2
ENSG00000127184.0
ENSG00000142534.0
ENSG00000147274.0
ENSG00000166004.0
ENSG00000166004.1
ENSG00000122574.0
ENSG00000115053.0
ENSG00000115053.1
ENSG00000115053.2
ENSG00000145425.0
ENSG00000112306.0
ENSG00000154545.0
ENSG00000197989.0
ENSG00000270066.0
ENSG00000147117.0
ENSG00000114686.0
ENSG00000226950.0
ENSG00000100316.0
ENSG00000136270.0
ENSG00000288701.0
ENSG00000288701.1
ENSG00000089006.0
ENSG00000166012.0
ENSG00000166012.1
ENSG00000185246.0
ENSG00000122406.0
ENSG00000116885.0
ENSG00000198563.0
ENSG00000163811.0
ENSG00000167721.0
ENSG00000101935.0
ENSG00000166441.0
ENSG00000279014.0
ENSG00000106305.0
ENSG00000250988.0
ENSG00000175061.0
ENSG00000247092.0
ENSG00000118873.0
ENSG00000113013.0
ENSG00000008988.0
ENSG00000139620.0
ENSG00000132680.0
ENSG00000149273.0
ENSG00000137073.0
ENSG00000163162.0
