ENSG00000224078.0
ENSG00000224078.1
ENSG00000224078.2
ENSG00000224078.3
ENSG00000224078.4
ENSG00000224078.5
ENSG00000224078.6
ENSG00000224078.7
ENSG00000224078.8
ENSG00000224078.9
ENSG00000224078.10
ENSG00000224078.11
ENSG00000224078.12
ENSG00000224078.13
ENSG00000224078.14
ENSG00000224078.15
ENSG00000224078.16
ENSG00000224078.17
ENSG00000224078.18
ENSG00000224078.19
ENSG00000224078.20
ENSG00000224078.21
ENSG00000224078.22
ENSG00000224078.23
ENSG00000224078.24
ENSG00000224078.25
ENSG00000224078.26
ENSG00000224078.27
ENSG00000224078.28
ENSG00000224078.29
ENSG00000224078.30
ENSG00000224078.31
ENSG00000203875.0
