,gene_of_interest,len_target_list,target_list,len_ensg_target_list,ensg_target_list,target_std_name_to_ensg_map
277,ENSG00000238300,0,[],0,[],{}
278,ENSG00000238311,1,['ACSL4'],1,['ENSG00000068366'],{'ACSL4': ['ENSG00000068366']}
279,ENSG00000238317,0,[],0,[],{}
280,ENSG00000238344,1,['MIR7-3HG'],1,['ENSG00000176840'],{'MIR7-3HG': ['ENSG00000176840']}
281,ENSG00000238363,2,"['SNORA9', 'SCARNA23']",5,"['ENSG00000277184', 'ENSG00000199282', 'ENSG00000202231', 'ENSG00000206897', 'ENSG00000251869']","{'SNORA9': ['ENSG00000277184', 'ENSG00000199282', 'ENSG00000202231', 'ENSG00000206897'], 'SCARNA23': ['ENSG00000251869']}"
282,ENSG00000238423,0,[],0,[],{}
283,ENSG00000238531,2,"['RNU4-1', 'U3']",56,"['ENSG00000200795', 'ENSG00000277205', 'ENSG00000274581', 'ENSG00000212479', 'ENSG00000199856', 'ENSG00000212539', 'ENSG00000212165', 'ENSG00000275900', 'ENSG00000201346', 'ENSG00000212434', 'ENSG00000273788', 'ENSG00000212321', 'ENSG00000201674', 'ENSG00000200693', 'ENSG00000277754', 'ENSG00000200545', 'ENSG00000200492', 'ENSG00000221455', 'ENSG00000199851', 'ENSG00000200538', 'ENSG00000275154', 'ENSG00000201329', 'ENSG00000221125', 'ENSG00000201368', 'ENSG00000221043', 'ENSG00000281710', 'ENSG00000202268', 'ENSG00000200222', 'ENSG00000212211', 'ENSG00000212598', 'ENSG00000221633', 'ENSG00000212551', 'ENSG00000221332', 'ENSG00000222666', 'ENSG00000207119', 'ENSG00000221461', 'ENSG00000212422', 'ENSG00000202233', 'ENSG00000221638', 'ENSG00000212182', 'ENSG00000221044', 'ENSG00000212511', 'ENSG00000199370', 'ENSG00000212538', 'ENSG00000212610', 'ENSG00000271817', 'ENSG00000238297', 'ENSG00000221040', 'ENSG00000221496', 'ENSG00000276366', 'ENSG00000221345', 'ENSG00000212195', 'ENSG00000221673', 'ENSG00000263934', 'ENSG00000200318', 'ENSG00000281710;ENSG00000199927']","{'RNU4-1': ['ENSG00000200795'], 'U3': ['ENSG00000277205', 'ENSG00000274581', 'ENSG00000212479', 'ENSG00000199856', 'ENSG00000212539', 'ENSG00000212165', 'ENSG00000275900', 'ENSG00000201346', 'ENSG00000212434', 'ENSG00000273788', 'ENSG00000212321', 'ENSG00000201674', 'ENSG00000200693', 'ENSG00000277754', 'ENSG00000200545', 'ENSG00000200492', 'ENSG00000221455', 'ENSG00000199851', 'ENSG00000200538', 'ENSG00000275154', 'ENSG00000201329', 'ENSG00000221125', 'ENSG00000201368', 'ENSG00000221043', 'ENSG00000281710', 'ENSG00000202268', 'ENSG00000200222', 'ENSG00000212211', 'ENSG00000212598', 'ENSG00000221633', 'ENSG00000212551', 'ENSG00000221332', 'ENSG00000222666', 'ENSG00000207119', 'ENSG00000221461', 'ENSG00000212422', 'ENSG00000202233', 'ENSG00000221638', 'ENSG00000212182', 'ENSG00000221044', 'ENSG00000212511', 'ENSG00000199370', 'ENSG00000212538', 'ENSG00000212610', 'ENSG00000271817', 'ENSG00000238297', 'ENSG00000221040', 'ENSG00000221496', 'ENSG00000276366', 'ENSG00000221345', 'ENSG00000212195', 'ENSG00000221673', 'ENSG00000263934', 'ENSG00000200318', 'ENSG00000281710;ENSG00000199927']}"
284,ENSG00000238578,0,[],0,[],{}
285,ENSG00000238597,1,['RPL5'],1,['ENSG00000122406'],{'RPL5': ['ENSG00000122406']}
286,ENSG00000238622,0,[],0,[],{}
287,ENSG00000238649,1,['snoU13'],0,[],{'snoU13': []}
288,ENSG00000238650,2,"['RNU1-35P', 'MT-ND5']",2,"['ENSG00000199652', 'ENSG00000198786']","{'RNU1-35P': ['ENSG00000199652'], 'MT-ND5': ['ENSG00000198786']}"
289,ENSG00000238741,3,"['U1-70', 'U1.1-70', 'PTDSS2']",32,"['ENSG00000274574', 'ENSG00000277374', 'ENSG00000275987', 'ENSG00000275405', 'ENSG00000262656', 'ENSG00000274208', 'ENSG00000275205', 'ENSG00000273636', 'ENSG00000264998', 'ENSG00000264640', 'ENSG00000265059', 'ENSG00000263871', 'ENSG00000266081', 'ENSG00000265074', 'ENSG00000265838', 'ENSG00000266860', 'ENSG00000265248', 'ENSG00000264960', 'ENSG00000264704', 'ENSG00000275631', 'ENSG00000265983', 'ENSG00000264909', 'ENSG00000263971', 'ENSG00000264893', 'ENSG00000266884', 'ENSG00000264389', 'ENSG00000266689', 'ENSG00000273516', 'ENSG00000273727', 'ENSG00000206652', 'ENSG00000282367', 'ENSG00000174915']","{'U1': ['ENSG00000274574', 'ENSG00000277374', 'ENSG00000275987', 'ENSG00000275405', 'ENSG00000262656', 'ENSG00000274208', 'ENSG00000275205', 'ENSG00000273636', 'ENSG00000264998', 'ENSG00000264640', 'ENSG00000265059', 'ENSG00000263871', 'ENSG00000266081', 'ENSG00000265074', 'ENSG00000265838', 'ENSG00000266860', 'ENSG00000265248', 'ENSG00000264960', 'ENSG00000264704', 'ENSG00000275631', 'ENSG00000265983', 'ENSG00000264909', 'ENSG00000263971', 'ENSG00000264893', 'ENSG00000266884', 'ENSG00000264389', 'ENSG00000266689', 'ENSG00000273516', 'ENSG00000273727', 'ENSG00000206652'], 'U1-1': [], 'PTDSS2': ['ENSG00000282367', 'ENSG00000174915']}"
290,ENSG00000238793,1,['U4atac.1-7'],0,[],{'U4atac-1': []}
291,ENSG00000238795,20,"['RNU5F-1', 'U5-46', 'SCARNA10', 'SNORA66', 'SNORD103A', 'SNORD20', 'SNORD31', 'SNORD41', 'SNORD47', 'SNORD53', 'SNORD59A', 'SNORD60', 'SNORD62A', 'SNORD81', 'SNORD94', 'CTD-2135D7', 'SCARNA14', 'SCARNA17', 'SCARNA6', 'SCARNA7']",21,"['ENSG00000199377', 'ENSG00000239002', 'ENSG00000207523', 'ENSG00000207280', 'ENSG00000201847', 'ENSG00000209702', 'ENSG00000265145', 'ENSG00000207031', 'ENSG00000206630', 'ENSG00000206630;ENSG00000281010', 'ENSG00000235284', 'ENSG00000212278', 'ENSG00000199934', 'ENSG00000202023', 'ENSG00000208772', 'ENSG00000252712', 'ENSG00000251992', 'ENSG00000252139', 'ENSG00000281388', 'ENSG00000251791', 'ENSG00000238741']","{'RNU5F-1': ['ENSG00000199377'], 'U5': [], 'SCARNA10': ['ENSG00000239002'], 'SNORA66': ['ENSG00000207523'], 'SNORD103A': [], 'SNORD20': ['ENSG00000207280'], 'SNORD31': ['ENSG00000201847'], 'SNORD41': ['ENSG00000209702'], 'SNORD47': [], 'SNORD53': ['ENSG00000265145'], 'SNORD59A': ['ENSG00000207031'], 'SNORD60': ['ENSG00000206630', 'ENSG00000206630;ENSG00000281010'], 'SNORD62A': ['ENSG00000235284'], 'SNORD81': ['ENSG00000212278', 'ENSG00000199934', 'ENSG00000202023'], 'SNORD94': ['ENSG00000208772'], 'CTD-2135D7': [], 'SCARNA14': ['ENSG00000252712'], 'SCARNA17': ['ENSG00000251992', 'ENSG00000252139'], 'SCARNA6': ['ENSG00000281388', 'ENSG00000251791'], 'SCARNA7': ['ENSG00000238741']}"
292,ENSG00000238804,0,[],0,[],{}
293,ENSG00000238835,2,"['U1-6', 'U1.4-6']",30,"['ENSG00000274574', 'ENSG00000277374', 'ENSG00000275987', 'ENSG00000275405', 'ENSG00000262656', 'ENSG00000274208', 'ENSG00000275205', 'ENSG00000273636', 'ENSG00000264998', 'ENSG00000264640', 'ENSG00000265059', 'ENSG00000263871', 'ENSG00000266081', 'ENSG00000265074', 'ENSG00000265838', 'ENSG00000266860', 'ENSG00000265248', 'ENSG00000264960', 'ENSG00000264704', 'ENSG00000275631', 'ENSG00000265983', 'ENSG00000264909', 'ENSG00000263971', 'ENSG00000264893', 'ENSG00000266884', 'ENSG00000264389', 'ENSG00000266689', 'ENSG00000273516', 'ENSG00000273727', 'ENSG00000206652']","{'U1': ['ENSG00000274574', 'ENSG00000277374', 'ENSG00000275987', 'ENSG00000275405', 'ENSG00000262656', 'ENSG00000274208', 'ENSG00000275205', 'ENSG00000273636', 'ENSG00000264998', 'ENSG00000264640', 'ENSG00000265059', 'ENSG00000263871', 'ENSG00000266081', 'ENSG00000265074', 'ENSG00000265838', 'ENSG00000266860', 'ENSG00000265248', 'ENSG00000264960', 'ENSG00000264704', 'ENSG00000275631', 'ENSG00000265983', 'ENSG00000264909', 'ENSG00000263971', 'ENSG00000264893', 'ENSG00000266884', 'ENSG00000264389', 'ENSG00000266689', 'ENSG00000273516', 'ENSG00000273727', 'ENSG00000206652'], 'U1-4': []}"
294,ENSG00000238862,0,[],0,[],{}
295,ENSG00000238886,0,[],0,[],{}
296,ENSG00000238917,18,"['RNU4ATAC', 'RNU6-263P', 'RNU6-28P', 'RNU6-3P', 'RNU6-429P', 'RNU6-61P', 'RNU6-98P', 'U6', 'U6-77', 'U6.1-77', 'GREM2', 'GRIN2C', 'IPO5', 'LGR5', 'MT-CO1', 'VAMP3', 'SNORD13', 'CTBP2P7']",134,"['ENSG00000264229', 'ENSG00000200681', 'ENSG00000199248', 'ENSG00000207041', 'ENSG00000207312', 'ENSG00000202398', 'ENSG00000206900', 'ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226', 'ENSG00000180875', 'ENSG00000161509', 'ENSG00000065150', 'ENSG00000139292', 'ENSG00000198804', 'ENSG00000049245', 'ENSG00000239039', 'ENSG00000267091']","{'RNU4ATAC': ['ENSG00000264229'], 'RNU6-263P': ['ENSG00000200681'], 'RNU6-28P': ['ENSG00000199248'], 'RNU6-3P': ['ENSG00000207041'], 'RNU6-429P': ['ENSG00000207312'], 'RNU6-61P': ['ENSG00000202398'], 'RNU6-98P': ['ENSG00000206900'], 'U6': ['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226'], 'U6-1': ['ENSG00000206625'], 'GREM2': ['ENSG00000180875'], 'GRIN2C': ['ENSG00000161509'], 'IPO5': ['ENSG00000065150'], 'LGR5': ['ENSG00000139292'], 'MT-CO1': ['ENSG00000198804'], 'VAMP3': ['ENSG00000049245'], 'SNORD13': ['ENSG00000239039'], 'CTBP2P7': ['ENSG00000267091']}"
297,ENSG00000238936,0,[],0,[],{}
298,ENSG00000238942,0,[],0,[],{}
299,ENSG00000238961,7,"['U4atac.3-5', 'SNORA11', 'SNORA65', 'SNORA78', 'SNORD116-9', 'SNORD28', 'SNORD66']",7,"['ENSG00000221716', 'ENSG00000201302', 'ENSG00000273587', 'ENSG00000206727', 'ENSG00000207014', 'ENSG00000274544', 'ENSG00000212158']","{'U4atac-3': [], 'SNORA11': ['ENSG00000221716'], 'SNORA65': ['ENSG00000201302'], 'SNORA78': ['ENSG00000273587'], 'SNORD116-9': ['ENSG00000206727', 'ENSG00000207014'], 'SNORD28': ['ENSG00000274544'], 'SNORD66': ['ENSG00000212158']}"
300,ENSG00000239002,15,"['RNU5F-1', 'U5-45', 'U5-46', 'U5.1-43', 'U5.1-44', 'SCARNA12', 'SNORA48', 'SNORD105', 'SNORD117', 'SNORD20', 'SNORD27', 'SNORD46', 'SNORD59A', 'SNORD94', 'SCARNA7']",20,"['ENSG00000199377', 'ENSG00000238795', 'ENSG00000209582', 'ENSG00000212445', 'ENSG00000209645', 'ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785', 'ENSG00000207280', 'ENSG00000252128', 'ENSG00000275996', 'ENSG00000200913', 'ENSG00000207031', 'ENSG00000208772', 'ENSG00000238741']","{'RNU5F-1': ['ENSG00000199377'], 'U5': [], 'U5-1': [], 'SCARNA12': ['ENSG00000238795'], 'SNORA48': ['ENSG00000209582', 'ENSG00000212445'], 'SNORD105': ['ENSG00000209645'], 'SNORD117': ['ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785'], 'SNORD20': ['ENSG00000207280'], 'SNORD27': ['ENSG00000252128', 'ENSG00000275996'], 'SNORD46': ['ENSG00000200913'], 'SNORD59A': ['ENSG00000207031'], 'SNORD94': ['ENSG00000208772'], 'SCARNA7': ['ENSG00000238741']}"
