,gene_of_interest,len_target_list,target_list,len_ensg_target_list,ensg_target_list,target_std_name_to_ensg_map
0,ENSG00000199266,3,"['U11.1-97', 'GAS5', 'SCARNA11']",2,"['ENSG00000234741', 'ENSG00000251898']","{'U11-1': [], 'GAS5': ['ENSG00000234741'], 'SCARNA11': ['ENSG00000251898']}"
1,ENSG00000199293,2,"['SNORD117', 'SNORD62A']",9,"['ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785', 'ENSG00000235284']","{'SNORD117': ['ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785'], 'SNORD62A': ['ENSG00000235284']}"
2,ENSG00000199311,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
3,ENSG00000199363,1,['U2.2-6'],0,[],{'U2-2': []}
4,ENSG00000199436,3,"['U6', 'U6-53', 'U6.1-53']",119,"['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226']","{'U6': ['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226'], 'U6-1': ['ENSG00000206625']}"
5,ENSG00000199453,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
6,ENSG00000199477,5,"['DNAJA2', 'SEMA3A', 'SNORA70F', 'SNORA74A', 'SNORD116-9']",7,"['ENSG00000069345', 'ENSG00000075213', 'ENSG00000206869', 'ENSG00000201376', 'ENSG00000200959', 'ENSG00000206727', 'ENSG00000207014']","{'DNAJA2': ['ENSG00000069345'], 'SEMA3A': ['ENSG00000075213'], 'SNORA70F': ['ENSG00000206869', 'ENSG00000201376'], 'SNORA74A': ['ENSG00000200959'], 'SNORD116-9': ['ENSG00000206727', 'ENSG00000207014']}"
7,ENSG00000199489,0,[],0,[],{}
8,ENSG00000199574,0,[],0,[],{}
9,ENSG00000199575,0,[],0,[],{}
10,ENSG00000199593,0,[],0,[],{}
11,ENSG00000199631,0,[],0,[],{}
12,ENSG00000199666,1,['SNORD3B-2'],1,['ENSG00000262074'],{'SNORD3B-2': ['ENSG00000262074']}
13,ENSG00000199673,7,"['RNU6-1128P', 'RNU6-3P', 'XIST', 'SYVN1', 'TPPP', 'WDR12', 'SNORA25']",8,"['ENSG00000199695', 'ENSG00000207041', 'ENSG00000229807', 'ENSG00000162298', 'ENSG00000171368', 'ENSG00000138442', 'ENSG00000207112', 'ENSG00000200075']","{'RNU6-1128P': ['ENSG00000199695'], 'RNU6-3P': ['ENSG00000207041'], 'XIST': ['ENSG00000229807'], 'SYVN1': ['ENSG00000162298'], 'TPPP': ['ENSG00000171368'], 'WDR12': ['ENSG00000138442'], 'SNORA25': ['ENSG00000207112', 'ENSG00000200075']}"
14,ENSG00000199704,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
15,ENSG00000199712,0,[],0,[],{}
16,ENSG00000199744,0,[],0,[],{}
17,ENSG00000199753,6,"['RNU12', 'CKB', 'SNORD103A', 'SNORD53', 'SNORD74', 'SCARNA17']",6,"['ENSG00000276027', 'ENSG00000201659', 'ENSG00000166165', 'ENSG00000265145', 'ENSG00000251992', 'ENSG00000252139']","{'RNU12': ['ENSG00000276027', 'ENSG00000201659'], 'CKB': ['ENSG00000166165'], 'SNORD103A': [], 'SNORD53': ['ENSG00000265145'], 'SNORD74': [], 'SCARNA17': ['ENSG00000251992', 'ENSG00000252139']}"
18,ENSG00000199782,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
19,ENSG00000199785,1,['ZNF536'],1,['ENSG00000198597'],{'ZNF536': ['ENSG00000198597']}
20,ENSG00000199787,2,"['SLC7A1', 'SNHG1']",2,"['ENSG00000139514', 'ENSG00000255717']","{'SLC7A1': ['ENSG00000139514'], 'SNHG1': ['ENSG00000255717']}"
21,ENSG00000199833,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
22,ENSG00000199851,1,['OGFRL1'],1,['ENSG00000119900'],{'OGFRL1': ['ENSG00000119900']}
23,ENSG00000199960,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
24,ENSG00000199961,1,['SNORD1A'],1,['ENSG00000278261'],{'SNORD1A': ['ENSG00000278261']}
25,ENSG00000199968,0,[],0,[],{}
26,ENSG00000199970,0,[],0,[],{}
27,ENSG00000200084,1,['F9'],1,['ENSG00000101981'],{'F9': ['ENSG00000101981']}
28,ENSG00000200087,15,"['SNHG3', 'ADAM2', 'DGKA', 'IL1A', 'SLC18A1', 'TCF4', 'TMEM53', 'UNC50', 'UPB1', 'RNU105C', 'SNORA73A', 'OIP5-AS1', 'SNHG1', 'SNHG11', 'MTCO1P15']",17,"['ENSG00000242125', 'ENSG00000276286', 'ENSG00000104755', 'ENSG00000065357', 'ENSG00000115008', 'ENSG00000036565', 'ENSG00000196628', 'ENSG00000148737', 'ENSG00000126106', 'ENSG00000115446', 'ENSG00000100024', 'ENSG00000199212', 'ENSG00000274266', 'ENSG00000247556', 'ENSG00000255717', 'ENSG00000174365', 'ENSG00000255350']","{'SNHG3': ['ENSG00000242125'], 'ADAM2': ['ENSG00000276286', 'ENSG00000104755'], 'DGKA': ['ENSG00000065357'], 'IL1A': ['ENSG00000115008'], 'SLC18A1': ['ENSG00000036565'], 'TCF4': ['ENSG00000196628', 'ENSG00000148737'], 'TMEM53': ['ENSG00000126106'], 'UNC50': ['ENSG00000115446'], 'UPB1': ['ENSG00000100024'], 'RNU105C': ['ENSG00000199212'], 'SNORA73A': ['ENSG00000274266'], 'OIP5-AS1': ['ENSG00000247556'], 'SNHG1': ['ENSG00000255717'], 'SNHG11': ['ENSG00000174365'], 'MTCO1P15': ['ENSG00000255350']}"
29,ENSG00000200163,0,[],0,[],{}
30,ENSG00000200215,0,[],0,[],{}
31,ENSG00000200259,3,"['FKBP10', 'SNORA58', 'SNORA7B']",7,"['ENSG00000141756', 'ENSG00000249020', 'ENSG00000201003', 'ENSG00000201129', 'ENSG00000207088', 'ENSG00000206976', 'ENSG00000200620']","{'FKBP10': ['ENSG00000141756'], 'SNORA58': ['ENSG00000249020', 'ENSG00000201003', 'ENSG00000201129'], 'SNORA7B': ['ENSG00000207088', 'ENSG00000206976', 'ENSG00000200620']}"
32,ENSG00000200320,0,[],0,[],{}
33,ENSG00000200354,1,['DEAF1'],2,"['ENSG00000282712', 'ENSG00000177030']","{'DEAF1': ['ENSG00000282712', 'ENSG00000177030']}"
34,ENSG00000200367,0,[],0,[],{}
35,ENSG00000200394,1,['U4.2-71'],0,[],{'U4-2': []}
36,ENSG00000200406,0,[],0,[],{}
37,ENSG00000200413,0,[],0,[],{}
38,ENSG00000200418,0,[],0,[],{}
39,ENSG00000200422,0,[],0,[],{}
40,ENSG00000200463,47,"['RNU1-77P', 'RNU4-2', 'U4', 'RP11-219J21', 'RP11-473M20', 'RP3-393E18', 'RP5-1039K5', 'ABCB7', 'CRAMP1', 'DBNL', 'DDX17', 'DNAJB14', 'EHD3', 'FBN3', 'GANAB', 'GARS', 'GNB1', 'GRN', 'LMTK2', 'LSM4', 'MT-CO2', 'MT-CYB', 'NR1H2', 'NXT2', 'PSME4', 'RGL2', 'RILPL2', 'RPL13A', 'RPL5', 'RPTOR', 'SCD', 'SCN8A', 'SYTL5', 'TIAL1', 'TTC26', 'ZNF536', 'ZNF624', 'SNORD117', 'SNORD47', 'SNORD48', 'SNORD53', 'GAS5', 'RP11-977G19', 'SNHG1', 'QTRT1P1', 'RP11-456J20', 'RP11-550A9']",68,"['ENSG00000212170', 'ENSG00000202538', 'ENSG00000283939', 'ENSG00000278374', 'ENSG00000273744', 'ENSG00000277986', 'ENSG00000283442', 'ENSG00000274197', 'ENSG00000274716', 'ENSG00000276103', 'ENSG00000201458', 'ENSG00000272160', 'ENSG00000222736', 'ENSG00000201628', 'ENSG00000200795', 'ENSG00000201806', 'ENSG00000131269', 'ENSG00000007545', 'ENSG00000136279', 'ENSG00000100201', 'ENSG00000164031', 'ENSG00000013016', 'ENSG00000142449', 'ENSG00000089597', 'ENSG00000106105', 'ENSG00000078369', 'ENSG00000030582', 'ENSG00000164715', 'ENSG00000130520', 'ENSG00000198712', 'ENSG00000198727', 'ENSG00000131408', 'ENSG00000101888', 'ENSG00000068878', 'ENSG00000237825', 'ENSG00000206282', 'ENSG00000228736', 'ENSG00000224841', 'ENSG00000237441', 'ENSG00000150977', 'ENSG00000142541', 'ENSG00000122406', 'ENSG00000141564', 'ENSG00000099194', 'ENSG00000197375', 'ENSG00000196876', 'ENSG00000147041', 'ENSG00000151923', 'ENSG00000105948', 'ENSG00000198597', 'ENSG00000197566', 'ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785', 'ENSG00000263864', 'ENSG00000264086', 'ENSG00000264202', 'ENSG00000265732', 'ENSG00000201823', 'ENSG00000265145', 'ENSG00000234741', 'ENSG00000255717', 'ENSG00000270524']","{'RNU1-77P': ['ENSG00000212170'], 'RNU4-2': ['ENSG00000202538'], 'U4': ['ENSG00000283939', 'ENSG00000278374', 'ENSG00000273744', 'ENSG00000277986', 'ENSG00000283442', 'ENSG00000274197', 'ENSG00000274716', 'ENSG00000276103', 'ENSG00000201458', 'ENSG00000272160', 'ENSG00000222736', 'ENSG00000201628', 'ENSG00000200795', 'ENSG00000201806'], 'RP11-219J21': [], 'RP11-473M20': [], 'RP3-393E18': [], 'RP5-1039K5': [], 'ABCB7': ['ENSG00000131269'], 'CRAMP1': ['ENSG00000007545'], 'DBNL': ['ENSG00000136279'], 'DDX17': ['ENSG00000100201'], 'DNAJB14': ['ENSG00000164031'], 'EHD3': ['ENSG00000013016'], 'FBN3': ['ENSG00000142449'], 'GANAB': ['ENSG00000089597'], 'GARS': ['ENSG00000106105'], 'GNB1': ['ENSG00000078369'], 'GRN': ['ENSG00000030582'], 'LMTK2': ['ENSG00000164715'], 'LSM4': ['ENSG00000130520'], 'MT-CO2': ['ENSG00000198712'], 'MT-CYB': ['ENSG00000198727'], 'NR1H2': ['ENSG00000131408'], 'NXT2': ['ENSG00000101888'], 'PSME4': ['ENSG00000068878'], 'RGL2': ['ENSG00000237825', 'ENSG00000206282', 'ENSG00000228736', 'ENSG00000224841', 'ENSG00000237441'], 'RILPL2': ['ENSG00000150977'], 'RPL13A': ['ENSG00000142541'], 'RPL5': ['ENSG00000122406'], 'RPTOR': ['ENSG00000141564'], 'SCD': ['ENSG00000099194', 'ENSG00000197375'], 'SCN8A': ['ENSG00000196876'], 'SYTL5': ['ENSG00000147041'], 'TIAL1': ['ENSG00000151923'], 'TTC26': ['ENSG00000105948'], 'ZNF536': ['ENSG00000198597'], 'ZNF624': ['ENSG00000197566'], 'SNORD117': ['ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785'], 'SNORD47': [], 'SNORD48': ['ENSG00000263864', 'ENSG00000264086', 'ENSG00000264202', 'ENSG00000265732', 'ENSG00000201823'], 'SNORD53': ['ENSG00000265145'], 'GAS5': ['ENSG00000234741'], 'RP11-977G19': [], 'SNHG1': ['ENSG00000255717'], 'QTRT1P1': ['ENSG00000270524'], 'RP11-456J20': [], 'RP11-550A9': []}"
41,ENSG00000200478,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
42,ENSG00000200480,0,[],0,[],{}
43,ENSG00000200486,9,"['HTR2C', 'SNORD108', 'SNORD109A', 'SNORD115', 'SNORD116', 'SNORD116-9', 'SNORD48', 'SNORD64', 'SCARNA22']",18,"['ENSG00000147246', 'ENSG00000239014', 'ENSG00000274640', 'ENSG00000239169', 'ENSG00000212411', 'ENSG00000212428', 'ENSG00000212553', 'ENSG00000252985', 'ENSG00000202498', 'ENSG00000206727', 'ENSG00000207014', 'ENSG00000263864', 'ENSG00000264086', 'ENSG00000264202', 'ENSG00000265732', 'ENSG00000201823', 'ENSG00000276610', 'ENSG00000249784']","{'HTR2C': ['ENSG00000147246'], 'SNORD108': ['ENSG00000239014'], 'SNORD109A': ['ENSG00000274640', 'ENSG00000239169'], 'SNORD115': ['ENSG00000212411', 'ENSG00000212428'], 'SNORD116': ['ENSG00000212553', 'ENSG00000252985', 'ENSG00000202498'], 'SNORD116-9': ['ENSG00000206727', 'ENSG00000207014'], 'SNORD48': ['ENSG00000263864', 'ENSG00000264086', 'ENSG00000264202', 'ENSG00000265732', 'ENSG00000201823'], 'SNORD64': ['ENSG00000276610'], 'SCARNA22': ['ENSG00000249784']}"
44,ENSG00000200496,0,[],0,[],{}
45,ENSG00000200503,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
46,ENSG00000200530,0,[],0,[],{}
47,ENSG00000200534,0,[],0,[],{}
48,ENSG00000200564,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
49,ENSG00000200593,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
50,ENSG00000200608,0,[],0,[],{}
51,ENSG00000200612,0,[],0,[],{}
52,ENSG00000200623,1,['PPFIBP2'],1,['ENSG00000166387'],{'PPFIBP2': ['ENSG00000166387']}
53,ENSG00000200632,0,[],0,[],{}
54,ENSG00000200638,0,[],0,[],{}
55,ENSG00000200680,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
56,ENSG00000200726,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
57,ENSG00000200757,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
58,ENSG00000200785,3,"['U6', 'U6-53', 'U6.1-53']",119,"['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226']","{'U6': ['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226'], 'U6-1': ['ENSG00000206625']}"
59,ENSG00000200792,3,"['LYSMD1', 'TROAP', 'SNORA80B']",4,"['ENSG00000163155', 'ENSG00000135451', 'ENSG00000206633', 'ENSG00000207217']","{'LYSMD1': ['ENSG00000163155'], 'TROAP': ['ENSG00000135451'], 'SNORA80B': ['ENSG00000206633', 'ENSG00000207217']}"
60,ENSG00000200812,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
61,ENSG00000200816,1,['SUGP1'],1,['ENSG00000105705'],{'SUGP1': ['ENSG00000105705']}
62,ENSG00000200831,0,[],0,[],{}
63,ENSG00000200879,0,[],0,[],{}
64,ENSG00000200913,0,[],0,[],{}
65,ENSG00000200949,0,[],0,[],{}
