,x,y,frel
2162,ENSG00000147604,ENSG00000227008,0.000835421888053
2163,ENSG00000105372,ENSG00000147604,0.000838612165432
2164,ENSG00000124614,ENSG00000148303,0.8866603167789999
2165,ENSG00000148303,ENSG00000171863,0.6071309803575
2166,ENSG00000148303,ENSG00000242071,0.597494780793
2167,ENSG00000111144,ENSG00000148303,0.595278246206
2168,ENSG00000100353,ENSG00000148303,0.448406040268
2169,ENSG00000148303,ENSG00000244313,0.357263513514
2170,ENSG00000112306,ENSG00000148303,0.323219066444
2171,ENSG00000006652,ENSG00000148303,0.241915161697
2172,ENSG00000137154,ENSG00000148303,0.246524209798
2173,ENSG00000148303,ENSG00000149273,0.2219419969245
2174,ENSG00000068137,ENSG00000148303,0.184433164129
2175,ENSG00000148303,ENSG00000172053,0.177092138631
2176,ENSG00000148303,ENSG00000213598,0.16221939856
2177,ENSG00000104408,ENSG00000148303,0.150833333333
2178,ENSG00000148303,ENSG00000161016,0.1176873338835
2179,ENSG00000148303,ENSG00000200983,0.0917469627147
2180,ENSG00000120616,ENSG00000148303,0.0801866779805
2181,ENSG00000148303,ENSG00000148498,0.0787929589271
2182,ENSG00000148303,ENSG00000219747,0.077900084674
2183,ENSG00000145741,ENSG00000148303,0.076955602537
2184,ENSG00000104529,ENSG00000148303,0.0769554247267
2185,ENSG00000105856,ENSG00000148303,0.0717013152312
2186,ENSG00000120253,ENSG00000148303,0.0556027164686
2187,ENSG00000148303,ENSG00000201901,0.0502109704641
2188,ENSG00000143486,ENSG00000148303,0.0496424063946
2189,ENSG00000148303,ENSG00000168028,0.0489233904486
2190,ENSG00000123349,ENSG00000148303,0.0489335006274
2191,ENSG00000084092,ENSG00000148303,0.0481622306717
2192,ENSG00000148303,ENSG00000200488,0.0478003384095
2193,ENSG00000117543,ENSG00000148303,0.0378151260504
2194,ENSG00000142534,ENSG00000148303,0.027289394906750003
2195,ENSG00000148303,ENSG00000179119,0.0264261744966
2196,ENSG00000148303,ENSG00000239246,0.0246913580247
2197,ENSG00000143457,ENSG00000148303,0.0206751054852
2198,ENSG00000109452,ENSG00000148303,0.0164974619289
2199,ENSG00000148303,ENSG00000213741,0.016416928701199998
2200,ENSG00000148303,ENSG00000184903,0.0135996600085
2201,ENSG00000148303,ENSG00000168887,0.0130691399663
2202,ENSG00000148303,ENSG00000283691,0.0126528890763
2203,ENSG00000115268,ENSG00000148303,0.01054678939293
2204,ENSG00000148303,ENSG00000223202,0.0106292517007
2205,ENSG00000008988,ENSG00000148303,0.010411923244279999
2206,ENSG00000148303,ENSG00000283293,0.00888700804063
2207,ENSG00000148303,ENSG00000167565,0.00858000858001
2208,ENSG00000092531,ENSG00000148303,0.0067283431455
2209,ENSG00000115758,ENSG00000148303,0.00547138047138
2210,ENSG00000148303,ENSG00000217716,0.00546677880572
2211,ENSG00000148303,ENSG00000231500,0.00569114530702
2212,ENSG00000148303,ENSG00000241741,0.00169348010161
2213,ENSG00000007255,ENSG00000148303,0.00169348010161
2214,ENSG00000109920,ENSG00000148303,0.00168990283059
2215,ENSG00000148303,ENSG00000151353,0.0016835016835
2216,ENSG00000148303,ENSG00000252879,0.00167714884696
2217,ENSG00000148303,ENSG00000198355,0.000855431993157
2218,ENSG00000148303,ENSG00000212664,0.000851426138782
2219,ENSG00000148303,ENSG00000207187,0.000849617672048
2220,ENSG00000148303,ENSG00000233837,0.000849256900212
2221,ENSG00000148303,ENSG00000220848,0.000848896434635
2222,ENSG00000103274,ENSG00000148303,0.000846740050804
2223,ENSG00000100129,ENSG00000148303,0.000846740050804
2224,ENSG00000148303,ENSG00000201078,0.000846381718155
2225,ENSG00000148303,ENSG00000177000,0.000843525938423
2226,ENSG00000148303,ENSG00000217130,0.000841042893188
2227,ENSG00000148303,ENSG00000149823,0.000838222967309
2228,ENSG00000148303,ENSG00000169976,0.000833680700292
2229,ENSG00000146223,ENSG00000159377,0.90516511431
2230,ENSG00000146223,ENSG00000183978,0.648671446647
2231,ENSG00000121940,ENSG00000146223,0.537811575834
2232,ENSG00000072415,ENSG00000146223,0.531656184486
2233,ENSG00000146223,ENSG00000253797,0.489864864865
2234,ENSG00000146223,ENSG00000178425,0.477699041267
2235,ENSG00000146223,ENSG00000196922,0.394479830149
2236,ENSG00000101966,ENSG00000146223,0.355810008482
2237,ENSG00000125901,ENSG00000146223,0.344680851064
2238,ENSG00000146223,ENSG00000181704,0.329823083404
2239,ENSG00000104872,ENSG00000146223,0.218120805369
2240,ENSG00000006625,ENSG00000146223,0.196880269815
2241,ENSG00000008324,ENSG00000146223,0.196293176074
2242,ENSG00000137996,ENSG00000146223,0.153171953255
2243,ENSG00000146223,ENSG00000162961,0.121638924456
2244,ENSG00000129128,ENSG00000146223,0.106427378965
2245,ENSG00000036549,ENSG00000146223,0.103491796382
2246,ENSG00000109133,ENSG00000146223,0.0995798319328
2247,ENSG00000146223,ENSG00000253982,0.0873015873016
2248,ENSG00000104613,ENSG00000146223,0.0832980972516
2249,ENSG00000146223,ENSG00000211450,0.0811153358682
