ensembl_id	snoRNAs	Expression_level	Cancer	Bladder	Brain	Breast_aggressive	Breast_normal	Cervical	Colon	Gallbladder	Gastric	Hepatocellular	Leukemia	Lung	Myeloma	Osteosarcoma	Ovarian	Prostate	Renal	Reference
ENSG00000274544	SNORD28	Increased	BRCA/NSCLC	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://pubmed.ncbi.nlm.nih.gov/31052265/
ENSG00000274582/ENSG00000280498	SNORA16/SNORA16A	Increased	Larynx/BRCA/ccRCC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
ENSG00000274640/ENSG00000239169	SNORD109A/HBII-438A/HBII-438a	Increased	BCP-ALL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
ENSG00000274998/ENSG00000281808	SNORA17A	Increased	UM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/30569172/
ENSG00000275043	SNORD25	Increased	BRCA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000275084	SNORD91B	Increased	HCC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
ENSG00000275127	SNORD116-22	Increased	BCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
ENSG00000275662	SNORD112	Increased	APL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/22522792/
ENSG00000276314	SNORD107/HBII-436	Increased	BCP-ALL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
ENSG00000276610	SNORD64/HBII-13	Increased	BCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
ENSG00000277184/ENSG00000202231/ENSG00000206897/ENSG00000199282	SNORA9	Increased	BCBM/CRC/GC/LC/HCC/BRCA	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://pubmed.ncbi.nlm.nih.gov/31308739/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000277194/ENSG00000278527	SNORD22	Increased	BRCA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000277512	SNORD65	Increased	HCC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
ENSG00000277887/ENSG00000281311	SNORA50C/ACA62/SNORA76/SNORA76C	Increased	NB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9276775/
ENSG00000278089	SNORD115-7	Increased	MM	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
ENSG00000278274	SNORA61	Increased	BRCA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub
ENSG00000280496/ENSG00000276161	SNORA43	Increased	NSCLC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508363/
ENSG00000283551	SNORD98/HBII-419	Increased	LC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/31052265/
	SNORA7	Increased	ccRCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	SNORD113	Increased	APL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/22522792/
	SNORD13P2	Increased	BCBM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/29287594/
	SNORD19.2	Increased	CRC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD74/U74/Z18	Increased	AML	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/28650479/
	SNORD77	Increased	CRC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	SNORD78	Increased	NSCLC	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
	SNORD78/U78	Increased	NSCLC/PCa/HNSCC/CRC/ccRCC	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472183/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7243338/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
	snoU2_19	Increased	HCC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0006291X1830843X?via%3Dihub
	snoZ196	Increased	ccRCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
	U50A	Increased	BRCA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8699759/
ENSG00000252022/ENSG00000199631	SNORD33/U33/RNU33	Increased/Decreased	BRCA/NSCLC/ccRCC/CRC	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3832415/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7235744/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7011154/ https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihub https://pubmed.ncbi.nlm.nih.gov/31052265/ https://pubmed.ncbi.nlm.nih.gov/28110922/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
ENSG00000199785	SNORA52	Increased/Decreased	BCBM/HCC	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8203349/
ENSG00000199961	SNORD1B	Increased/Decreased	BRCA/NSCLC	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	https://www.sciencedirect.com/science/article/pii/S0304419X20302201?via%3Dihubb https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
ENSG00000201512	SNORA71C	Increased/Decreased	BCBM/ccRCC/Sarcoma/CLL	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	https://pubmed.ncbi.nlm.nih.gov/29287594/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541128/#cam43361-sup-0007 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/
ENSG00000202031	SNORD38A	Increased/Decreased	COC/LC	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8615616/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
ENSG00000206760	SNORA6	Increased/Decreased	LC/Pancreas	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8615616/
