ENSG00000166441
ENSG00000197989
ENSG00000145592
ENSG00000173674
ENSG00000163162
ENSG00000100888
ENSG00000173726
ENSG00000130935
ENSG00000125107
ENSG00000122026
ENSG00000204387
ENSG00000166012
ENSG00000142534
ENSG00000122406
no_go.0
ENSG00000163938
ENSG00000137073
ENSG00000169239
ENSG00000110700
ENSG00000205531
ENSG00000101868
ENSG00000118873
ENSG00000127184
ENSG00000008988
ENSG00000174444
ENSG00000205339
ENSG00000198918
ENSG00000106305
ENSG00000149273
ENSG00000147274
ENSG00000121101
ENSG00000100664
ENSG00000130826
ENSG00000214756
ENSG00000177600
ENSG00000287458
ENSG00000102316
ENSG00000110321
ENSG00000167658
ENSG00000265681
ENSG00000090621
ENSG00000105186
ENSG00000100814
no_go.1
ENSG00000174695
ENSG00000146731
ENSG00000224078
ENSG00000125691
ENSG00000114867
ENSG00000080603
ENSG00000174365
ENSG00000142494
ENSG00000111364
ENSG00000242125
ENSG00000224032
ENSG00000133112
ENSG00000187243
ENSG00000142937
ENSG00000189091
ENSG00000143569
ENSG00000130810
ENSG00000127948
ENSG00000142207
ENSG00000163597
no_go.2
ENSG00000114942
ENSG00000144713
ENSG00000163811
ENSG00000109685
ENSG00000204628
ENSG00000161960
no_go.3
ENSG00000105640
ENSG00000075131
ENSG00000133943
ENSG00000136270
ENSG00000115053
ENSG00000116138
ENSG00000288701
ENSG00000179029
ENSG00000167747
ENSG00000175216
ENSG00000147874
ENSG00000120498
ENSG00000215021
ENSG00000156976
no_go.4
ENSG00000197958
ENSG00000143207
ENSG00000101361
ENSG00000145425
no_go.5
ENSG00000089006
ENSG00000113013
ENSG00000133962
ENSG00000105373
ENSG00000185246
ENSG00000267321
ENSG00000060339
ENSG00000267322
ENSG00000117751
no_go.6
ENSG00000177410
ENSG00000115977
ENSG00000142541
ENSG00000166747
no_go.7
ENSG00000110955
ENSG00000055044
ENSG00000109971
ENSG00000139620
ENSG00000100316
ENSG00000198242
ENSG00000115758
ENSG00000167721
no_go.8
ENSG00000234912
ENSG00000111642
ENSG00000085978
ENSG00000148303
ENSG00000008838
ENSG00000198563
ENSG00000170004
ENSG00000113732
ENSG00000186432
ENSG00000132300
ENSG00000075415
ENSG00000140988
ENSG00000138617
ENSG00000134046
no_go.9
ENSG00000107581
ENSG00000226950
ENSG00000196756
ENSG00000165417
ENSG00000183495
ENSG00000233016
ENSG00000269893
ENSG00000196305
ENSG00000175061
no_go.10
ENSG00000120438
ENSG00000232956
ENSG00000112306
ENSG00000147403
ENSG00000132680
ENSG00000255198
hl.0
ENSG00000255717
ENSG00000203875
ENSG00000147246
ENSG00000156482
ENSG00000115839
ENSG00000204469
ENSG00000247092
no_go.11
ENSG00000137955
ENSG00000168028
ENSG00000099901
