,x,y,frel
0,ENSG00000206612,ENSG00000261175,1.0
1,ENSG00000202252,NR_003940,1.0
2,ENSG00000201700,ENSG00000201950,1.0
3,ENSG00000201302,ENSG00000275143,1.0
4,ENSG00000200087,ENSG00000207344,1.0
5,ENSG00000201772,ENSG00000265706,1.0
6,ENSG00000276788,NR_003939,1.0
7,ENSG00000200478,ENSG00000200503,1.0
8,ENSG00000206620,ENSG00000207241,1.0
9,ENSG00000207468,ENSG00000221420,1.0
10,ENSG00000201143,ENSG00000201679,1.0
11,ENSG00000200913,ENSG00000238363,1.0
12,ENSG00000201569,ENSG00000275662,1.0
13,ENSG00000238531,ENSG00000274091,1.0
14,ENSG00000206903,ENSG00000263776,1.0
15,ENSG00000206788,ENSG00000239195,1.0
16,ENSG00000201302,ENSG00000277184,1.0
17,ENSG00000201512,ENSG00000239183,1.0
18,ENSG00000153234,ENSG00000200367,1.0
19,ENSG00000277512,trna.id.1.91449,1.0
20,ENSG00000201569,ENSG00000201839,1.0
21,ENSG00000206754,NR_003943,1.0
22,ENSG00000221643,ENSG00000277864,1.0
23,ENSG00000206634,ENSG00000252835,1.0
24,ENSG00000200757,ENSG00000272460,1.0
25,ENSG00000200084,NR_002750,1.0
26,ENSG00000207001,ENSG00000251896,1.0
27,ENSG00000168528,ENSG00000238795,1.0
28,ENSG00000209482,ENSG00000238300,1.0
29,ENSG00000206611,ENSG00000275043,1.0
30,ENSG00000199293,ENSG00000206612,1.0
31,ENSG00000206834,ENSG00000207493,1.0
32,ENSG00000206609,ENSG00000276314,1.0
33,ENSG00000206693,ENSG00000221102,1.0
34,ENSG00000207165,ENSG00000209582,1.0
35,ENSG00000238597,ENSG00000277846,1.0
36,ENSG00000238942,ENSG00000283551,1.0
37,ENSG00000200593,ENSG00000201907,1.0
38,ENSG00000221750,ENSG00000271907,1.0
39,ENSG00000201998,ENSG00000275143,1.0
40,ENSG00000201679,ENSG00000201943,1.0
41,ENSG00000200785,ENSG00000202031,1.0
42,cluster_1089,ENSG00000275072,1.0
43,ENSG00000235284,ENSG00000278261,1.0
44,ENSG00000202031,ENSG00000272296,1.0
45,ENSG00000120899,ENSG00000239014,1.0
46,ENSG00000206838,ENSG00000207304,1.0
47,ENSG00000209480,ENSG00000209482,1.0
48,ENSG00000251815,ENSG00000252326,1.0
49,ENSG00000238886,NR_002560,1.0
50,ENSG00000207274,ENSG00000275221,1.0
51,ENSG00000221475,ENSG00000221750,1.0
52,ENSG00000200163,trna.id.1.31236,1.0
53,ENSG00000265185,ENSG00000277947,1.0
54,ENSG00000202529,ENSG00000238942,1.0
55,ENSG00000200792,ENSG00000252577,1.0
56,ENSG00000186340,ENSG00000207468,1.0
57,ENSG00000200406,ENSG00000200413,1.0
58,ENSG00000204348,ENSG00000270141,1.0
59,ENSG00000238578,NR_003066,1.0
60,ENSG00000207067,ENSG00000207313,1.0
61,ENSG00000199970,ENSG00000200726,1.0
62,ENSG00000088882,ENSG00000251733,1.0
63,ENSG00000200785,ENSG00000272533,1.0
64,ENSG00000200638,ENSG00000200987,1.0
65,cluster_14,ENSG00000212195,1.0
66,ENSG00000207405,ENSG00000207475,1.0
67,ENSG00000200913,ENSG00000221705,1.0
68,ENSG00000197971,ENSG00000208839,1.0
69,ENSG00000206612,ENSG00000221491,1.0
70,ENSG00000238835,ENSG00000252947,1.0
71,ENSG00000212402,ENSG00000212607,1.0
72,ENSG00000202293,ENSG00000275662,1.0
73,ENSG00000207088,ENSG00000207496,1.0
